voix	NOUN	voix
peine	NOUN	peine
la	DET	le
garçon	NOUN	garçon
—	PUNCT	—
chambre	NOUN	chambre
repoussa	VERB	repousser
Dans	ADP	dans
petit	ADJ	petit
?	PUNCT	?
sergent	NOUN	sergent
Suzanne	PROPN	Suzanne
.	PUNCT	.
»	PUNCT	»
est	AUX	être
,	PUNCT	,
Où	ADV	où
tasse	NOUN	tasse
—	PUNCT	—
elle	PRON	lui
au	ADP	au
,	PUNCT	,
?	PUNCT	?
-ce	PRON	-ce
le	DET	le
)	PUNCT	)
mère	NOUN	mère
«	NOUN	«
bord	NOUN	bord
de	ADP	de
jusqu'	ADP	jusque
.	PUNCT	.
Elle	PRON	lui
,	PUNCT	,
est	AUX	être
Il	PRON	il
—	PUNCT	—
,	PUNCT	,
table	NOUN	table
