tête	NOUN	tête
parterre	NOUN	parterre
évanouissaient	ADV	évanouissaient
ombres	NOUN	ombre
la	DET	le
et	CCONJ	et
témoins	NOUN	témoin
de	ADP	de
tous	ADJ	tout
vitres	NOUN	vitre
compagnon	NOUN	compagnon
s'	PRON	se
si	SCONJ	si
après	ADP	après
embuées	VERB	embuer
tournais	VERB	tourner
jeunesse	NOUN	jeunesse
voyais	VERB	voir
autre	PRON	autre
où	PRON	où
,	PUNCT	,
,	PUNCT	,
chienne	NOUN	chienne
Filou	PROPN	Filou
.	PUNCT	.
les	DET	le
d'	ADP	de
et	CCONJ	et
Je	PRON	je
ma	DET	mon
essoufflée	NOUN	essoufflée
plus	ADV	plus
ligne	NOUN	ligne
L'	DET	le
,	PUNCT	,
abriter	VERB	abriter
de	ADP	de
première	ADJ	premier
.	PUNCT	.
aucun	DET	aucun
que	SCONJ	que
Jacqueline	PROPN	Jacqueline
sonné	VERB	sonner
parla	VERB	parler
,	PUNCT	,
sous	ADP	sous
m'	PRON	me
allais	VERB	aller
parapluie	NOUN	parapluie
heure	NOUN	heure
lequel	PRON	lequel
,	PUNCT	,
course	NOUN	course
plus	ADV	plus
derrière	ADP	derrière
seul	ADJ	seul
et	CCONJ	et
tout	DET	tout
un	DET	un
la	DET	le
.	PUNCT	.
sa	DET	son
sans	ADP	sans
arriva	PROPN	arriver
relève	NOUN	relève
rempart	NOUN	rempart
de	ADP	de
.	PUNCT	.
abritée	VERB	abriter
j'	PRON	je
C'	PRON	ce
avait	AUX	avoir
monter	VERB	monter
est	AUX	être
alors	ADV	alors
de	ADP	de
en	ADP	en
en	ADP	en
Elle	PRON	lui
devoir	VERB	devoir
appelé	VERB	appeler
une	DET	un
vain	ADJ	vain
.	PUNCT	.
En	ADP	en
trop	ADV	trop
d'	ADP	de
en	ADP	en
qui	PRON	qui
de	ADP	de
au	ADP	au
téléphone	NOUN	téléphone
veille	NOUN	veille
avait	AUX	avoir
craignant	VERB	craindre
de	ADP	de
coup	NOUN	coup
certaine	NOUN	certaine
,	PUNCT	,
Ma	DET	mon
un	DET	un
.	PUNCT	.
,	PUNCT	,
timide	ADJ	timide
assener	VERB	assener
,	PUNCT	,
elle	PRON	lui
avait	AUX	avoir
cause	NOUN	cause
était	AUX	être
tenté	VERB	tenter
éditeur	NOUN	éditeur
peut-être	ADV	peut-être
.	PUNCT	.
morte	VERB	mourir
m'	PRON	me
mon	DET	mon
brutal	ADJ	brutal
désespoir	VERB	désespoir
Une	DET	un
de	ADP	de
la	DET	le
Bouguet	PROPN	Bouguet
me	PRON	me
joindre	VERB	joindre
mère	NOUN	mère
voix	NOUN	voix
avait	AUX	avoir
lui-même	PRON	lui-même
Marie-Louise	PROPN	Marie-Louise
mon	DET	mon
à	ADP	à
J'	PRON	je
un	DET	un
manifestation	NOUN	manifestation
me	PRON	me
téléphoné	VERB	téléphoner
.	PUNCT	.
ai	AUX	avoir
étais	VERB	être
j'	PRON	je
écarte	NOUN	écarte
un	DET	un
l'	DET	le
...	PUNCT	...
tendresse	NOUN	tendresse
allais	VERB	aller
me	PRON	me
Je	PRON	je
énième	NOUN	énième
j'	PRON	je
élan	NOUN	élan
J'	PRON	je
,	PUNCT	,
,	PUNCT	,
lequel	PRON	lequel
regrettai	VERB	regretter
aussitôt	ADV	aussitôt
.	PUNCT	.
.	PUNCT	.
écartai	VERB	écarter
.	PUNCT	.
J'	PRON	je
toute	DET	tout
Cristobal	PROPN	Cristobal
debout	ADV	debout
recul	NOUN	recul
servir	VERB	servir
de	ADP	de
pour	ADP	pour
son	DET	son
eut	VERB	avoir
contre	ADP	contre
geste	NOUN	geste
comme	ADP	comme
café	ADJ	café
Rémy	PROPN	Rémy
lui	PRON	lui
perdu	VERB	perdre
serrer	VERB	serrer
?	PUNCT	?
des	ADP	de
J'	PRON	je
à	ADP	à
moi	PRON	moi
j'	PRON	je
habitude	NOUN	habitude
?	PUNCT	?
sur	ADP	sur
ton	NOUN	ton
-je	PROPN	-je
d'	ADP	de
me	PRON	me
téléphone	NOUN	téléphone
le	DET	le
même	ADV	même
,	PUNCT	,
.	PUNCT	.
que	PRON	que
Jacqueline	NOUN	jacqueline
affectée	VERB	affecter
touchait	VERB	toucher
rabattis	VERB	rabattre
.	PUNCT	.
indifférence	NUM	indifférence
Sur	ADP	sur
je	PRON	je
ressentais	VERB	ressentir
ce	PRON	ce
cet	DET	ce
en	ADP	en
me	PRON	me
même	ADJ	même
ailleurs	ADV	ailleurs
événement	NOUN	événement
d'	ADP	de
Je	PRON	je
expliquai	VERB	expliquer
-	PUNCT	-
pas	ADV	pas
doute	NOUN	doute
ne	ADV	ne
crut	VERB	croire
.	PUNCT	.
Savais	NOUN	savai
que	SCONJ	que
effusions	NOUN	effusion
-elle	PRON	lui
le	DET	le
Me	NOUN	me
Félix	PROPN	Félix
feignis	X	feindre
finis	VERB	finir
s'	PRON	se
le	PRON	le
Nos	DET	notre
,	PUNCT	,
Je	PRON	je
un	DET	un
avait	AUX	avoir
qui	PRON	qui
