nu	ADV	nu
savais	VERB	savoir
voulait	VERB	vouloir
installait	VERB	installer
,	PUNCT	,
.	PUNCT	.
autre	PRON	autre
.	PUNCT	.
auxquelles	PRON	auxquelles
me	PRON	me
se	PRON	se
heurtait	VERB	heurter
à	ADP	à
personnes	NOUN	personne
et	CCONJ	et
entre	ADP	entre
se	PRON	se
marchait	VERB	marcher
en	ADP	en
à	ADP	à
de	ADP	de
la	DET	le
Jouant	NOUN	jouant
intransigeant	ADV	intransigeant
car	CCONJ	car
exalté	VERB	exalter
humeur	NOUN	humeur
ma	DET	mon
ses	DET	son
de	ADP	de
d'	ADP	de
nerveusement	VERB	nerveusemer
plus	ADV	plus
insurmontables	ADJ	insurmontable
incompatibilités	NOUN	incompatibilité
,	PUNCT	,
propos	NOUN	propos
,	PUNCT	,
par	ADP	par
niveau	NOUN	niveau
grands	ADJ	grand
de	ADP	de
liées	VERB	lier
baignoire	NOUN	baignoire
hiérarchique	ADJ	hiérarchique
des	DET	un
montrait	VERB	montrer
des	DET	un
,	PUNCT	,
de	ADP	de
pas	ADV	pas
.	PUNCT	.
,	PUNCT	,
le	DET	le
long	NOUN	long
même	ADJ	même
étaient	AUX	être
il	PRON	il
plus	ADV	plus
serviette	NOUN	serviette
toile	ADJ	toil
Il	PRON	il
s'	PRON	se
tente	VERB	tente
des	DET	un
.	PUNCT	.
.	PUNCT	.
monde	NOUN	monde
chemise	NOUN	chemise
il	PRON	il
)	PUNCT	)
Je	PRON	je
,	PUNCT	,
et	CCONJ	et
.	PUNCT	.
simples	ADJ	simple
irresponsable	NOUN	irresponsable
!	PUNCT	!
Un	DET	un
l'	DET	le
d'	ADP	de
l'	DET	le
une	DET	un
,	PUNCT	,
Lacour	PROPN	Lacour
vociférait	VERB	vociférer
pantalon	NOUN	pantalon
de	ADP	de
.	PUNCT	.
,	PUNCT	,
en	ADP	en
,	PUNCT	,
Finalement	ADV	finalement
portais	VERB	porter
disait	VERB	dire
traita	VERB	traiter
beige	NOUN	beige
Je	PRON	je
vêtements	NOUN	vêtement
impossible	NOUN	impossible
fout	ADV	fout
-il	PRON	il
tout	ADV	tout
.	PUNCT	.
9	NUM	9
impossible	NOUN	impossible
menaçait	VERB	menacer
le	DET	le
bleue	ADJ	bleu
et	CCONJ	et
dame	NOUN	dame
cravate	NOUN	cravate
.	PUNCT	.
que	SCONJ	que
yeux	NOUN	oeil
mon	DET	mon
une	DET	un
puissante	ADJ	puissant
dessert	NOUN	dessert
avec	ADP	avec
détendu	VERB	détendre
,	PUNCT	,
semblais	VERB	sembler
boule	ADJ	boul
tissus	NOUN	tissu
.	PUNCT	.
sur	ADP	sur
une	DET	un
songeais	VERB	songer
,	PUNCT	,
profit	NOUN	profit
musclé	VERB	muscler
le	DET	le
.	PUNCT	.
de	ADP	de
Les	DET	le
