un	DET	un
un	DET	un
claqua	NOUN	claqua
violemment	ADV	violemment
d'	ADP	de
jeune	ADJ	jeune
Raphaël	PROPN	Raphaël
ce	PRON	ce
,	PUNCT	,
tête	NOUN	tête
femme	NOUN	femme
,	PUNCT	,
puis	CCONJ	puis
ces	DET	ce
La	DET	le
de	ADP	de
ne	ADV	ne
jeta	ADJ	jeta
sur	ADP	sur
tourna	VERB	tourner
même	ADV	même
la	DET	le
es	VERB	être
le	DET	le
silence	NOUN	silence
maison	NOUN	maison
—	PUNCT	—
voile	NOUN	voile
Tout	ADJ	tout
battements	NOUN	battement
plonger	VERB	plonger
que	SCONJ	que
Un	DET	un
.	PUNCT	.
un	DET	un
et	CCONJ	et
,	PUNCT	,
c'	PRON	ce
se	PRON	se
.	PUNCT	.
son	DET	son
l'	DET	le
plus	ADV	plus
autre	ADJ	autre
.	PUNCT	.
de	ADP	de
entendait	VERB	entendre
servit	VERB	servir
avoir	VERB	avoir
obscurcissait	VERB	obscurcir
n'	ADV	n'
déjà	ADV	déjà
1	NUM	1
.	PUNCT	.
oubli	NOUN	oubli
cœur	NOUN	cœur
ce	PRON	ce
allons	VERB	aller
esprit	NOUN	esprit
était	AUX	être
.	PUNCT	.
il	PRON	il
Nous	PRON	nous
les	DET	le
dans	ADP	dans
une	DET	un
qu'	PRON	qu'
Il	PRON	il
de	ADP	de
il	PRON	il
voulait	VERB	vouloir
son	DET	son
épais	ADJ	épais
whisky	NOUN	whisky
enfant	NOUN	enfant
rasade	NOUN	rasade
que	SCONJ	que
entendant	VERB	entendre
étoilé	ADJ	étoilé
Il	PRON	il
interrompit	ADV	interrompit
cœur	PROPN	cœur
En	ADP	en
ciel	NOUN	ciel
indifférent	NOUN	indifférent
ressentit	VERB	ressentir
douce	VERB	douce
.	PUNCT	.
poches	NOUN	poche
demanda	ADJ	demanda
Raphaël	PROPN	Raphaël
rêverie	NOUN	rêverie
au	ADP	au
les	DET	le
—	PUNCT	—
enfonça	VERB	enfoncer
pincement	ADV	pincement
et	CCONJ	et
laisse	VERB	laisse
mots	NOUN	mot
étrange	NOUN	étrange
,	PUNCT	,
Est	NOUN	est
-ce	PRON	-ce
.	PUNCT	.
mains	NOUN	main
.	PUNCT	.
te	PRON	te
Rodriguez	PROPN	Rodriguez
Christopher	VERB	christopher
dans	ADP	dans
un	DET	un
ça	PRON	cela
.	PUNCT	.
sa	DET	son
leva	VERB	lever
La	DET	le
ses	DET	son
vers	ADP	vers
nuit	NOUN	nuit
était	AUX	être
ses	DET	son
ces	DET	ce
le	DET	le
?	PUNCT	?
yeux	NOUN	oeil
—	PUNCT	—
-il	PRON	il
que	SCONJ	que
.	PUNCT	.
peux	VERB	pouvoir
soupira	VERB	soupirer
-t	PART	-t
savoir	VERB	savoir
Pourtant	ADV	pourtant
de	ADP	de
...	PUNCT	...
Mais	CCONJ	mais
!	PUNCT	!
ça	PRON	cela
le	DET	le
à	ADP	à
Raphaël	PROPN	Raphaël
fait	VERB	faire
